CourseId,Branch,ParentCourse,Rating
Deep Learning,CSE,B.Tech,4.75
Advanced Python,CSE,B.Tech,4.51
Ethical Hacking,CSE,B.Tech,4.52
Deep Learning,CSE,B.Tech,4.61
Advanced Python,CSE,B.Tech,4.65
Ethical Hacking,CSE,B.Tech,4.56
Deep Learning,CSE,B.Tech,4.74
Advanced Python,CSE,B.Tech,4.64
Ethical Hacking,CSE,B.Tech,4.5
Deep Learning,CSE,B.Tech,4.67
Advanced Python,CSE,B.Tech,4.69
Ethical Hacking,CSE,B.Tech,4.42
Deep Learning,CSE,B.Tech,4.67
Advanced Python,CSE,B.Tech,4.69
Ethical Hacking,CSE,B.Tech,4.42
Deep Learning,CSE,B.Tech,4.69
Advanced Python,CSE,B.Tech,4.55
Ethical Hacking,CSE,B.Tech,4.58
Deep Learning,CSE,B.Tech,4.65
Advanced Python,CSE,B.Tech,4.63
Ethical Hacking,CSE,B.Tech,4.54
Deep Learning,CSE,B.Tech,4.7
Advanced Python,CSE,B.Tech,4.56
Ethical Hacking,CSE,B.Tech,4.52
Deep Learning,CSE,B.Tech,4.71
Advanced Python,CSE,B.Tech,4.57
Ethical Hacking,CSE,B.Tech,4.52
Deep Learning,CSE,B.Tech,4.78
Advanced Python,CSE,B.Tech,4.65
Ethical Hacking,CSE,B.Tech,4.58
Deep Learning,CSE,B.Tech,4.75
Advanced Python,CSE,B.Tech,4.54
Ethical Hacking,CSE,B.Tech,4.42
Deep Learning,CSE,B.Tech,4.61
Advanced Python,CSE,B.Tech,4.59
Ethical Hacking,CSE,B.Tech,4.56
Deep Learning,CSE,B.Tech,4.66
Advanced Python,CSE,B.Tech,4.56
Ethical Hacking,CSE,B.Tech,4.41
Deep Learning,CSE,B.Tech,4.64
Advanced Python,CSE,B.Tech,4.62
Ethical Hacking,CSE,B.Tech,4.53
Deep Learning,CSE,B.Tech,4.78
Advanced Python,CSE,B.Tech,4.59
Ethical Hacking,CSE,B.Tech,4.59
Deep Learning,CSE,B.Tech,4.65
Advanced Python,CSE,B.Tech,4.5
Ethical Hacking,CSE,B.Tech,4.5
Deep Learning,CSE,B.Tech,4.69
Advanced Python,CSE,B.Tech,4.54
Ethical Hacking,CSE,B.Tech,4.55
Deep Learning,CSE,B.Tech,4.65
Advanced Python,CSE,B.Tech,4.69
Ethical Hacking,CSE,B.Tech,4.41
Deep Learning,CSE,B.Tech,4.77
Advanced Python,CSE,B.Tech,4.52
Ethical Hacking,CSE,B.Tech,4.54
Deep Learning,CSE,B.Tech,4.74
Advanced Python,CSE,B.Tech,4.59
Ethical Hacking,CSE,B.Tech,4.45
Deep Learning,CSE,B.Tech,4.66
Advanced Python,CSE,B.Tech,4.65
Ethical Hacking,CSE,B.Tech,4.43
Deep Learning,CSE,B.Tech,4.66
Advanced Python,CSE,B.Tech,4.66
Ethical Hacking,CSE,B.Tech,4.47
Deep Learning,CSE,B.Tech,4.68
Advanced Python,CSE,B.Tech,4.67
Ethical Hacking,CSE,B.Tech,4.58
Deep Learning,CSE,B.Tech,4.62
Advanced Python,CSE,B.Tech,4.65
Ethical Hacking,CSE,B.Tech,4.43
Deep Learning,CSE,B.Tech,4.63
Advanced Python,CSE,B.Tech,4.56
Ethical Hacking,CSE,B.Tech,4.54
Deep Learning,CSE,B.Tech,4.63
Advanced Python,CSE,B.Tech,4.59
Ethical Hacking,CSE,B.Tech,4.55
Deep Learning,CSE,B.Tech,4.64
Advanced Python,CSE,B.Tech,4.55
Ethical Hacking,CSE,B.Tech,4.5
Deep Learning,CSE,B.Tech,4.62
Advanced Python,CSE,B.Tech,4.69
Ethical Hacking,CSE,B.Tech,4.57
Deep Learning,CSE,B.Tech,4.69
Advanced Python,CSE,B.Tech,4.52
Ethical Hacking,CSE,B.Tech,4.51
Deep Learning,CSE,B.Tech,4.69
Advanced Python,CSE,B.Tech,4.61
Ethical Hacking,CSE,B.Tech,4.41
Deep Learning,CSE,B.Tech,4.61
Advanced Python,CSE,B.Tech,4.68
Ethical Hacking,CSE,B.Tech,4.52
Deep Learning,CSE,B.Tech,4.7
Advanced Python,CSE,B.Tech,4.52
Ethical Hacking,CSE,B.Tech,4.47
Deep Learning,CSE,B.Tech,4.69
Advanced Python,CSE,B.Tech,4.61
Ethical Hacking,CSE,B.Tech,4.54
Deep Learning,CSE,B.Tech,4.71
Advanced Python,CSE,B.Tech,4.61
Ethical Hacking,CSE,B.Tech,4.45
Deep Learning,CSE,B.Tech,4.79
Advanced Python,CSE,B.Tech,4.69
Ethical Hacking,CSE,B.Tech,4.51
Deep Learning,CSE,B.Tech,4.73
Advanced Python,CSE,B.Tech,4.55
Ethical Hacking,CSE,B.Tech,4.42
Deep Learning,CSE,B.Tech,4.74
Advanced Python,CSE,B.Tech,4.52
Ethical Hacking,CSE,B.Tech,4.58
Deep Learning,CSE,B.Tech,4.69
Advanced Python,CSE,B.Tech,4.5
Ethical Hacking,CSE,B.Tech,4.44
Deep Learning,CSE,B.Tech,4.6
Advanced Python,CSE,B.Tech,4.64
Ethical Hacking,CSE,B.Tech,4.4
Deep Learning,CSE,B.Tech,4.64
Advanced Python,CSE,B.Tech,4.57
Ethical Hacking,CSE,B.Tech,4.53
Deep Learning,CSE,B.Tech,4.6
Advanced Python,CSE,B.Tech,4.68
Ethical Hacking,CSE,B.Tech,4.52
Deep Learning,CSE,B.Tech,4.76
Advanced Python,CSE,B.Tech,4.54
Ethical Hacking,CSE,B.Tech,4.44
Deep Learning,CSE,B.Tech,4.68
Advanced Python,CSE,B.Tech,4.53
Ethical Hacking,CSE,B.Tech,4.47
Deep Learning,CSE,B.Tech,4.76
Advanced Python,CSE,B.Tech,4.66
Ethical Hacking,CSE,B.Tech,4.55
Deep Learning,CSE,B.Tech,4.78
Advanced Python,CSE,B.Tech,4.61
Ethical Hacking,CSE,B.Tech,4.59
Deep Learning,CSE,B.Tech,4.65
Advanced Python,CSE,B.Tech,4.62
Ethical Hacking,CSE,B.Tech,4.56
Deep Learning,CSE,B.Tech,4.74
Advanced Python,CSE,B.Tech,4.68
Ethical Hacking,CSE,B.Tech,4.42
Deep Learning,CSE,B.Tech,4.72
Advanced Python,CSE,B.Tech,4.63
Ethical Hacking,CSE,B.Tech,4.43
Deep Learning,CSE,B.Tech,4.7
Advanced Python,CSE,B.Tech,4.54
Ethical Hacking,CSE,B.Tech,4.52
Deep Learning,CSE,B.Tech,4.78
Advanced Python,CSE,B.Tech,4.61
Ethical Hacking,CSE,B.Tech,4.47
IoT Basics,ECE,B.Tech,4.79
Embedded Systems,ECE,B.Tech,4.66
VLSI Design,ECE,B.Tech,4.49
IoT Basics,ECE,B.Tech,4.78
Embedded Systems,ECE,B.Tech,4.66
VLSI Design,ECE,B.Tech,4.51
IoT Basics,ECE,B.Tech,4.78
Embedded Systems,ECE,B.Tech,4.67
VLSI Design,ECE,B.Tech,4.43
IoT Basics,ECE,B.Tech,4.6
Embedded Systems,ECE,B.Tech,4.58
VLSI Design,ECE,B.Tech,4.55
IoT Basics,ECE,B.Tech,4.78
Embedded Systems,ECE,B.Tech,4.63
VLSI Design,ECE,B.Tech,4.52
IoT Basics,ECE,B.Tech,4.74
Embedded Systems,ECE,B.Tech,4.65
VLSI Design,ECE,B.Tech,4.59
IoT Basics,ECE,B.Tech,4.78
Embedded Systems,ECE,B.Tech,4.68
VLSI Design,ECE,B.Tech,4.48
IoT Basics,ECE,B.Tech,4.62
Embedded Systems,ECE,B.Tech,4.52
VLSI Design,ECE,B.Tech,4.4
IoT Basics,ECE,B.Tech,4.71
Embedded Systems,ECE,B.Tech,4.61
VLSI Design,ECE,B.Tech,4.49
IoT Basics,ECE,B.Tech,4.68
Embedded Systems,ECE,B.Tech,4.56
VLSI Design,ECE,B.Tech,4.58
IoT Basics,ECE,B.Tech,4.65
Embedded Systems,ECE,B.Tech,4.56
VLSI Design,ECE,B.Tech,4.57
IoT Basics,ECE,B.Tech,4.69
Embedded Systems,ECE,B.Tech,4.53
VLSI Design,ECE,B.Tech,4.53
IoT Basics,ECE,B.Tech,4.7
Embedded Systems,ECE,B.Tech,4.59
VLSI Design,ECE,B.Tech,4.42
IoT Basics,ECE,B.Tech,4.7
Embedded Systems,ECE,B.Tech,4.56
VLSI Design,ECE,B.Tech,4.51
IoT Basics,ECE,B.Tech,4.62
Embedded Systems,ECE,B.Tech,4.59
VLSI Design,ECE,B.Tech,4.58
IoT Basics,ECE,B.Tech,4.7
Embedded Systems,ECE,B.Tech,4.62
VLSI Design,ECE,B.Tech,4.49
IoT Basics,ECE,B.Tech,4.76
Embedded Systems,ECE,B.Tech,4.68
VLSI Design,ECE,B.Tech,4.56
IoT Basics,ECE,B.Tech,4.66
Embedded Systems,ECE,B.Tech,4.66
VLSI Design,ECE,B.Tech,4.41
IoT Basics,ECE,B.Tech,4.74
Embedded Systems,ECE,B.Tech,4.56
VLSI Design,ECE,B.Tech,4.45
IoT Basics,ECE,B.Tech,4.66
Embedded Systems,ECE,B.Tech,4.61
VLSI Design,ECE,B.Tech,4.41
IoT Basics,ECE,B.Tech,4.8
Embedded Systems,ECE,B.Tech,4.63
VLSI Design,ECE,B.Tech,4.45
IoT Basics,ECE,B.Tech,4.64
Embedded Systems,ECE,B.Tech,4.52
VLSI Design,ECE,B.Tech,4.44
IoT Basics,ECE,B.Tech,4.75
Embedded Systems,ECE,B.Tech,4.62
VLSI Design,ECE,B.Tech,4.45
IoT Basics,ECE,B.Tech,4.74
Embedded Systems,ECE,B.Tech,4.64
VLSI Design,ECE,B.Tech,4.53
IoT Basics,ECE,B.Tech,4.65
Embedded Systems,ECE,B.Tech,4.61
VLSI Design,ECE,B.Tech,4.6
IoT Basics,ECE,B.Tech,4.64
Embedded Systems,ECE,B.Tech,4.57
VLSI Design,ECE,B.Tech,4.43
IoT Basics,ECE,B.Tech,4.68
Embedded Systems,ECE,B.Tech,4.52
VLSI Design,ECE,B.Tech,4.48
IoT Basics,ECE,B.Tech,4.67
Embedded Systems,ECE,B.Tech,4.53
VLSI Design,ECE,B.Tech,4.48
IoT Basics,ECE,B.Tech,4.64
Embedded Systems,ECE,B.Tech,4.57
VLSI Design,ECE,B.Tech,4.41
IoT Basics,ECE,B.Tech,4.7
Embedded Systems,ECE,B.Tech,4.59
VLSI Design,ECE,B.Tech,4.55
IoT Basics,ECE,B.Tech,4.68
Embedded Systems,ECE,B.Tech,4.56
VLSI Design,ECE,B.Tech,4.58
IoT Basics,ECE,B.Tech,4.69
Embedded Systems,ECE,B.Tech,4.57
VLSI Design,ECE,B.Tech,4.5
IoT Basics,ECE,B.Tech,4.71
Embedded Systems,ECE,B.Tech,4.67
VLSI Design,ECE,B.Tech,4.53
IoT Basics,ECE,B.Tech,4.76
Embedded Systems,ECE,B.Tech,4.57
VLSI Design,ECE,B.Tech,4.43
IoT Basics,ECE,B.Tech,4.66
Embedded Systems,ECE,B.Tech,4.55
VLSI Design,ECE,B.Tech,4.58
IoT Basics,ECE,B.Tech,4.71
Embedded Systems,ECE,B.Tech,4.66
VLSI Design,ECE,B.Tech,4.49
IoT Basics,ECE,B.Tech,4.62
Embedded Systems,ECE,B.Tech,4.66
VLSI Design,ECE,B.Tech,4.5
IoT Basics,ECE,B.Tech,4.64
Embedded Systems,ECE,B.Tech,4.54
VLSI Design,ECE,B.Tech,4.45
IoT Basics,ECE,B.Tech,4.71
Embedded Systems,ECE,B.Tech,4.57
VLSI Design,ECE,B.Tech,4.47
IoT Basics,ECE,B.Tech,4.65
Embedded Systems,ECE,B.Tech,4.51
VLSI Design,ECE,B.Tech,4.5
IoT Basics,ECE,B.Tech,4.61
Embedded Systems,ECE,B.Tech,4.62
VLSI Design,ECE,B.Tech,4.43
IoT Basics,ECE,B.Tech,4.7
Embedded Systems,ECE,B.Tech,4.68
VLSI Design,ECE,B.Tech,4.56
IoT Basics,ECE,B.Tech,4.76
Embedded Systems,ECE,B.Tech,4.67
VLSI Design,ECE,B.Tech,4.5
IoT Basics,ECE,B.Tech,4.75
Embedded Systems,ECE,B.Tech,4.7
VLSI Design,ECE,B.Tech,4.43
IoT Basics,ECE,B.Tech,4.76
Embedded Systems,ECE,B.Tech,4.58
VLSI Design,ECE,B.Tech,4.54
IoT Basics,ECE,B.Tech,4.68
Embedded Systems,ECE,B.Tech,4.6
VLSI Design,ECE,B.Tech,4.47
IoT Basics,ECE,B.Tech,4.79
Embedded Systems,ECE,B.Tech,4.66
VLSI Design,ECE,B.Tech,4.56
IoT Basics,ECE,B.Tech,4.64
Embedded Systems,ECE,B.Tech,4.68
VLSI Design,ECE,B.Tech,4.43
IoT Basics,ECE,B.Tech,4.67
Embedded Systems,ECE,B.Tech,4.59
VLSI Design,ECE,B.Tech,4.41
IoT Basics,ECE,B.Tech,4.66
Embedded Systems,ECE,B.Tech,4.52
VLSI Design,ECE,B.Tech,4.41
Thermodynamics,Mechanical,B.Tech,4.63
Robotics,Mechanical,B.Tech,4.51
CAD/CAM,Mechanical,B.Tech,4.49
Thermodynamics,Mechanical,B.Tech,4.75
Robotics,Mechanical,B.Tech,4.58
CAD/CAM,Mechanical,B.Tech,4.5
Thermodynamics,Mechanical,B.Tech,4.61
Robotics,Mechanical,B.Tech,4.54
CAD/CAM,Mechanical,B.Tech,4.58
Thermodynamics,Mechanical,B.Tech,4.67
Robotics,Mechanical,B.Tech,4.68
CAD/CAM,Mechanical,B.Tech,4.56
